sequence,block,speaker,set,order,trial,character,char_order,type,predicate
1a,1,amy,1,1,1,dogs,4,test,can think
1a,1,amy,1,1,2,staplers,10,test,have feelings
1a,1,amy,1,1,3,bugs,6,catch_silly,have fluffy feathers
1a,1,amy,1,1,4,grownups,1,test,can think
1a,1,amy,1,1,5,robots,7,test,can get hungry
1a,1,amy,1,1,6,cars,9,catch_serious,have wheels
1a,1,amy,1,1,7,babies,3,test,can get hungry
1a,1,amy,1,1,8,bears,5,catch_silly,have eight legs
1a,1,amy,1,1,9,computers,8,test,can think
1a,1,amy,1,1,10,kids,2,test,have feelings
1a,2,cassie,2,2,11,grownups,1,catch_silly,have three eyeballs
1a,2,cassie,2,2,12,babies,3,test,can think
1a,2,cassie,2,2,13,bears,5,test,can get hungry
1a,2,cassie,2,2,14,staplers,10,catch_serious,can be made out of metal
1a,2,cassie,2,2,15,dogs,4,test,have feelings
1a,2,cassie,2,2,16,cars,9,test,can get hungry
1a,2,cassie,2,2,17,bugs,6,test,can think
1a,2,cassie,2,2,18,computers,8,test,have feelings
1a,2,cassie,2,2,19,robots,7,test,can think
1a,2,cassie,2,2,20,kids,2,test,can get hungry
1b,1,cassie,3,1,1,computers,8,test,can get hungry
1b,1,cassie,3,1,2,staplers,10,test,can think
1b,1,cassie,3,1,3,cars,9,test,have feelings
1b,1,cassie,3,1,4,bugs,6,test,can get hungry
1b,1,cassie,3,1,5,bears,5,test,have feelings
1b,1,cassie,3,1,6,babies,3,catch_silly,have wings
1b,1,cassie,3,1,7,dogs,4,test,can get hungry
1b,1,cassie,3,1,8,kids,2,test,can think
1b,1,cassie,3,1,9,grownups,1,test,have feelings
1b,1,cassie,3,1,10,robots,7,catch_serious,can have arms
1b,2,amy,4,2,11,babies,3,test,have feelings
1b,2,amy,4,2,12,dogs,4,catch_silly,have pointy horns
1b,2,amy,4,2,13,robots,7,test,have feelings
1b,2,amy,4,2,14,bears,5,test,can think
1b,2,amy,4,2,15,bugs,6,test,have feelings
1b,2,amy,4,2,16,kids,2,catch_silly,have purple teeth
1b,2,amy,4,2,17,grownups,1,test,can get hungry
1b,2,amy,4,2,18,computers,8,catch_serious,have lots of buttons
1b,2,amy,4,2,19,staplers,10,test,can get hungry
1b,2,amy,4,2,20,cars,9,test,can think
2a,1,amy,2,1,1,bears,5,test,can get hungry
2a,1,amy,2,1,2,robots,7,test,can think
2a,1,amy,2,1,3,computers,8,test,have feelings
2a,1,amy,2,1,4,babies,3,test,can think
2a,1,amy,2,1,5,kids,2,test,can get hungry
2a,1,amy,2,1,6,dogs,4,test,have feelings
2a,1,amy,2,1,7,grownups,1,catch_silly,have three eyeballs
2a,1,amy,2,1,8,cars,9,test,can get hungry
2a,1,amy,2,1,9,staplers,10,catch_serious,can be made out of metal
2a,1,amy,2,1,10,bugs,6,test,can think
2a,2,cassie,3,2,11,robots,7,catch_serious,can have arms
2a,2,cassie,3,2,12,bugs,6,test,can get hungry
2a,2,cassie,3,2,13,babies,3,catch_silly,have wings
2a,2,cassie,3,2,14,computers,8,test,can get hungry
2a,2,cassie,3,2,15,bears,5,test,have feelings
2a,2,cassie,3,2,16,kids,2,test,can think
2a,2,cassie,3,2,17,cars,9,test,have feelings
2a,2,cassie,3,2,18,dogs,4,test,can get hungry
2a,2,cassie,3,2,19,staplers,10,test,can think
2a,2,cassie,3,2,20,grownups,1,test,have feelings
2b,1,cassie,4,1,1,cars,9,test,can think
2b,1,cassie,4,1,2,babies,3,test,have feelings
2b,1,cassie,4,1,3,kids,2,catch_silly,have purple teeth
2b,1,cassie,4,1,4,staplers,10,test,can get hungry
2b,1,cassie,4,1,5,robots,7,test,have feelings
2b,1,cassie,4,1,6,dogs,4,catch_silly,have pointy horns
2b,1,cassie,4,1,7,computers,8,catch_serious,have lots of buttons
2b,1,cassie,4,1,8,bugs,6,test,have feelings
2b,1,cassie,4,1,9,grownups,1,test,can get hungry
2b,1,cassie,4,1,10,bears,5,test,can think
2b,2,amy,1,2,11,staplers,10,test,have feelings
2b,2,amy,1,2,12,robots,7,test,can get hungry
2b,2,amy,1,2,13,kids,2,test,have feelings
2b,2,amy,1,2,14,grownups,1,test,can think
