sequence,phase,block,trial,target,predicate,prediction
1,practice,practice,1,icecream,is very cold,serious
1,practice,practice,2,strawberries,are blue,silly
1,test,1,3,dogs,have pointy horns,silly
1,test,1,4,staplers,are soft and fluffy,silly
1,test,1,5,bugs,can live outside,serious
1,test,1,6,grownups,can fly,silly
1,test,1,7,robots,can have plastic parts,serious
1,test,1,8,cars,have wheels,serious
1,test,1,9,babies,eat worms for dessert,silly
1,test,1,10,bears,have lots of fur,serious
1,test,1,11,computers,are wet and squishy,silly
1,test,1,12,kids,can eat apples for a snack,serious
1,test,2,13,grownups,have long legs,serious
1,test,2,14,babies,can cry,serious
1,test,2,15,bears,can play violin,silly
1,test,2,16,staplers,can be painted red,serious
1,test,2,17,dogs,bark,serious
1,test,2,18,cars,can fly to the moon,silly
1,test,2,19,bugs,have fuzzy antlers,silly
1,test,2,20,computers,have buttons that you can press,serious
1,test,2,21,robots,are made of marshmallows,silly
1,test,2,22,kids,have furry tails,silly
2,practice,practice,1,icecream,is very cold,serious
2,practice,practice,2,strawberries,are blue,silly
2,test,1,3,grownups,have long legs,serious
2,test,1,4,babies,can cry,serious
2,test,1,5,bears,are covered in slimy scales,silly
2,test,1,6,staplers,are soft and fluffy,silly
2,test,1,7,dogs,can ride bicycles,silly
2,test,1,8,cars,have windows,serious
2,test,1,9,bugs,can live outside,serious
2,test,1,10,computers,are wet and squishy,silly
2,test,1,11,robots,can make noises,serious
2,test,1,12,kids,eat backpacks for breakfast,silly
2,test,2,13,computers,can have pictures on them,serious
2,test,2,14,staplers,can staple paper,serious
2,test,2,15,cars,can fly to the moon,silly
2,test,2,16,bugs,can play basketball,silly
2,test,2,17,bears,have lots of fur,serious
2,test,2,18,babies,have wings,silly
2,test,2,19,dogs,bark,serious
2,test,2,20,kids,can eat apples for a snack,serious
2,test,2,21,grownups,have fluffy feathers,silly
2,test,2,22,robots,are made of marshmallows,silly
