sequence,block,trial,category,character,predicate
1,1,1,technology,computer,thinking
1,1,2,human,baby,feelings
1,1,3,technology,robot,hunger
1,1,4,animal,bear,thinking
1,1,5,technology,car,feelings
1,1,6,stapler,stapler,hunger
1,1,7,animal,bug,feelings
1,1,8,human,grownup,hunger
1,1,9,human,kid,thinking
1,1,10,animal,dog,hunger
1,2,11,stapler,stapler,feelings
1,2,12,human,baby,thinking
1,2,13,animal,dog,feelings
1,2,14,technology,computer,hunger
1,2,15,animal,bug,thinking
1,2,16,animal,bear,hunger
1,2,17,human,grownup,feelings
1,2,18,human,kid,hunger
1,2,19,technology,car,thinking
1,2,20,technology,robot,feelings
1,3,21,stapler,stapler,thinking
1,3,22,human,baby,hunger
1,3,23,technology,computer,feelings
1,3,24,human,grownup,thinking
1,3,25,animal,bug,hunger
1,3,26,animal,bear,feelings
1,3,27,technology,car,hunger
1,3,28,animal,dog,thinking
1,3,29,human,kid,feelings
1,3,30,technology,robot,thinking
2,1,1,animal,bear,hunger
2,1,2,technology,car,thinking
2,1,3,human,grownup,feelings
2,1,4,human,kid,hunger
2,1,5,technology,robot,feelings
2,1,6,technology,computer,hunger
2,1,7,human,baby,thinking
2,1,8,animal,dog,feelings
2,1,9,animal,bug,thinking
2,1,10,stapler,stapler,feelings
2,2,11,technology,car,hunger
2,2,12,human,grownup,thinking
2,2,13,human,kid,feelings
2,2,14,stapler,stapler,thinking
2,2,15,animal,bug,hunger
2,2,16,animal,dog,thinking
2,2,17,technology,computer,feelings
2,2,18,technology,robot,thinking
2,2,19,animal,bear,feelings
2,2,20,human,baby,hunger
2,3,21,technology,car,feelings
2,3,22,animal,dog,hunger
2,3,23,animal,bug,feelings
2,3,24,human,kid,thinking
2,3,25,stapler,stapler,hunger
2,3,26,human,baby,feelings
2,3,27,human,grownup,hunger
2,3,28,technology,computer,thinking
2,3,29,technology,robot,hunger
2,3,30,animal,bear,thinking
3,1,1,stapler,stapler,thinking
3,1,2,human,baby,hunger
3,1,3,technology,computer,feelings
3,1,4,human,grownup,thinking
3,1,5,animal,bug,hunger
3,1,6,animal,bear,feelings
3,1,7,technology,car,hunger
3,1,8,animal,dog,thinking
3,1,9,human,kid,feelings
3,1,10,technology,robot,thinking
3,2,11,technology,computer,thinking
3,2,12,human,baby,feelings
3,2,13,technology,robot,hunger
3,2,14,animal,bear,thinking
3,2,15,technology,car,feelings
3,2,16,stapler,stapler,hunger
3,2,17,animal,bug,feelings
3,2,18,human,grownup,hunger
3,2,19,human,kid,thinking
3,2,20,animal,dog,hunger
3,3,21,animal,bear,hunger
3,3,22,technology,car,thinking
3,3,23,human,grownup,feelings
3,3,24,human,kid,hunger
3,3,25,technology,robot,feelings
3,3,26,technology,computer,hunger
3,3,27,human,baby,thinking
3,3,28,animal,dog,feelings
3,3,29,animal,bug,thinking
3,3,30,stapler,stapler,feelings
4,1,1,technology,car,feelings
4,1,2,animal,dog,hunger
4,1,3,animal,bug,feelings
4,1,4,human,kid,thinking
4,1,5,stapler,stapler,hunger
4,1,6,human,baby,feelings
4,1,7,human,grownup,hunger
4,1,8,technology,computer,thinking
4,1,9,technology,robot,hunger
4,1,10,animal,bear,thinking
4,2,11,technology,car,hunger
4,2,12,human,grownup,thinking
4,2,13,human,kid,feelings
4,2,14,stapler,stapler,thinking
4,2,15,animal,bug,hunger
4,2,16,animal,dog,thinking
4,2,17,technology,computer,feelings
4,2,18,technology,robot,thinking
4,2,19,animal,bear,feelings
4,2,20,human,baby,hunger
4,3,21,stapler,stapler,feelings
4,3,22,human,baby,thinking
4,3,23,animal,dog,feelings
4,3,24,technology,computer,hunger
4,3,25,animal,bug,thinking
4,3,26,animal,bear,hunger
4,3,27,human,grownup,feelings
4,3,28,human,kid,hunger
4,3,29,technology,car,thinking
4,3,30,technology,robot,feelings
5,1,1,technology,car,hunger
5,1,2,human,grownup,thinking
5,1,3,human,kid,feelings
5,1,4,stapler,stapler,thinking
5,1,5,animal,bug,hunger
5,1,6,animal,dog,thinking
5,1,7,technology,computer,feelings
5,1,8,technology,robot,thinking
5,1,9,animal,bear,feelings
5,1,10,human,baby,hunger
5,2,11,animal,bear,hunger
5,2,12,technology,car,thinking
5,2,13,human,grownup,feelings
5,2,14,human,kid,hunger
5,2,15,technology,robot,feelings
5,2,16,technology,computer,hunger
5,2,17,human,baby,thinking
5,2,18,animal,dog,feelings
5,2,19,animal,bug,thinking
5,2,20,stapler,stapler,feelings
5,3,21,technology,computer,thinking
5,3,22,human,baby,feelings
5,3,23,technology,robot,hunger
5,3,24,animal,bear,thinking
5,3,25,technology,car,feelings
5,3,26,stapler,stapler,hunger
5,3,27,animal,bug,feelings
5,3,28,human,grownup,hunger
5,3,29,human,kid,thinking
5,3,30,animal,dog,hunger
6,1,1,stapler,stapler,feelings
6,1,2,human,baby,thinking
6,1,3,animal,dog,feelings
6,1,4,technology,computer,hunger
6,1,5,animal,bug,thinking
6,1,6,animal,bear,hunger
6,1,7,human,grownup,feelings
6,1,8,human,kid,hunger
6,1,9,technology,car,thinking
6,1,10,technology,robot,feelings
6,2,11,technology,car,feelings
6,2,12,animal,dog,hunger
6,2,13,animal,bug,feelings
6,2,14,human,kid,thinking
6,2,15,stapler,stapler,hunger
6,2,16,human,baby,feelings
6,2,17,human,grownup,hunger
6,2,18,technology,computer,thinking
6,2,19,technology,robot,hunger
6,2,20,animal,bear,thinking
6,3,21,stapler,stapler,thinking
6,3,22,human,baby,hunger
6,3,23,technology,computer,feelings
6,3,24,human,grownup,thinking
6,3,25,animal,bug,hunger
6,3,26,animal,bear,feelings
6,3,27,technology,car,hunger
6,3,28,animal,dog,thinking
6,3,29,human,kid,feelings
6,3,30,technology,robot,thinking
