sequence,block,trial,char_cat,character,predicate
1,practice,1,NA,strawberries,are blue
1,practice,2,NA,ice cream,is very cold
1,1,3,human,grownup,feelings
1,1,4,artifact,stapler,thinking
1,1,5,animal,bug,hunger
1,1,6,technology,computer,feelings
1,1,7,artifact,guitar,hunger
1,1,8,animal,bear,feelings
1,1,9,technology,cellphone,thinking
1,1,10,technology,robot,hunger
1,1,11,human,baby,thinking
1,1,12,artifact,car,feelings
1,1,13,animal,dog,thinking
1,1,14,human,kid,hunger
2,practice,1,NA,ice cream,is very cold
2,practice,2,NA,strawberries,are blue
2,1,3,animal,dog,thinking
2,1,4,artifact,guitar,hunger
2,1,5,technology,computer,feelings
2,1,6,human,baby,thinking
2,1,7,animal,bear,feelings
2,1,8,technology,cellphone,thinking
2,1,9,human,kid,hunger
2,1,10,artifact,stapler,thinking
2,1,11,technology,robot,hunger
2,1,12,artifact,car,feelings
2,1,13,animal,bug,hunger
2,1,14,human,grownup,feelings
3,practice,1,NA,strawberries,are blue
3,practice,2,NA,ice cream,is very cold
3,1,3,technology,robot,hunger
3,1,4,human,baby,thinking
3,1,5,animal,bear,feelings
3,1,6,artifact,stapler,thinking
3,1,7,human,grownup,feelings
3,1,8,animal,bug,hunger
3,1,9,animal,dog,thinking
3,1,10,human,kid,hunger
3,1,11,technology,computer,feelings
3,1,12,artifact,guitar,hunger
3,1,13,artifact,car,feelings
3,1,14,technology,cellphone,thinking
4,practice,1,NA,ice cream,is very cold
4,practice,2,NA,strawberries,are blue
4,1,3,artifact,car,feelings
4,1,4,human,kid,hunger
4,1,5,technology,cellphone,thinking
4,1,6,animal,bear,feelings
4,1,7,artifact,stapler,thinking
4,1,8,animal,bug,hunger
4,1,9,technology,computer,feelings
4,1,10,technology,robot,hunger
4,1,11,human,baby,thinking
4,1,12,artifact,guitar,hunger
4,1,13,human,grownup,feelings
4,1,14,animal,dog,thinking
5,practice,1,NA,ice cream,is very cold
5,practice,2,NA,strawberries,are blue
5,1,3,human,kid,thinking
5,1,4,animal,dog,feelings
5,1,5,artifact,car,hunger
5,1,6,technology,robot,thinking
5,1,7,human,grownup,hunger
5,1,8,artifact,guitar,thinking
5,1,9,animal,bear,hunger
5,1,10,technology,cellphone,feelings
5,1,11,technology,computer,hunger
5,1,12,human,baby,feelings
5,1,13,animal,bug,thinking
5,1,14,artifact,stapler,feelings
6,practice,1,NA,strawberries,are blue
6,practice,2,NA,ice cream,is very cold
6,1,3,animal,bear,hunger
6,1,4,artifact,stapler,feelings
6,1,5,technology,robot,thinking
6,1,6,human,grownup,hunger
6,1,7,human,baby,feelings
6,1,8,artifact,car,hunger
6,1,9,animal,bug,thinking
6,1,10,technology,computer,hunger
6,1,11,human,kid,thinking
6,1,12,technology,cellphone,feelings
6,1,13,artifact,guitar,thinking
6,1,14,animal,dog,feelings
7,practice,1,NA,ice cream,is very cold
7,practice,2,NA,strawberries,are blue
7,1,3,technology,cellphone,feelings
7,1,4,animal,bug,thinking
7,1,5,human,grownup,hunger
7,1,6,artifact,guitar,thinking
7,1,7,artifact,stapler,feelings
7,1,8,animal,bear,hunger
7,1,9,animal,dog,feelings
7,1,10,technology,computer,hunger
7,1,11,human,kid,thinking
7,1,12,artifact,car,hunger
7,1,13,human,baby,feelings
7,1,14,technology,robot,thinking
8,practice,1,NA,strawberries,are blue
8,practice,2,NA,ice cream,is very cold
8,1,3,artifact,guitar,thinking
8,1,4,human,baby,feelings
8,1,5,technology,computer,hunger
8,1,6,animal,bug,thinking
8,1,7,human,grownup,hunger
8,1,8,technology,cellphone,feelings
8,1,9,human,kid,thinking
8,1,10,animal,dog,feelings
8,1,11,artifact,car,hunger
8,1,12,artifact,stapler,feelings
8,1,13,animal,bear,hunger
8,1,14,technology,robot,thinking
9,practice,1,NA,strawberries,are blue
9,practice,2,NA,ice cream,is very cold
9,1,3,human,baby,hunger
9,1,4,animal,bear,thinking
9,1,5,artifact,guitar,feelings
9,1,6,technology,cellphone,hunger
9,1,7,artifact,car,thinking
9,1,8,animal,dog,hunger
9,1,9,human,kid,feelings
9,1,10,human,grownup,thinking
9,1,11,animal,bug,feelings
9,1,12,technology,computer,thinking
9,1,13,technology,robot,feelings
9,1,14,artifact,stapler,hunger
10,practice,1,NA,ice cream,is very cold
10,practice,2,NA,strawberries,are blue
10,1,3,animal,bug,feelings
10,1,4,technology,cellphone,hunger
10,1,5,artifact,car,thinking
10,1,6,human,kid,feelings
10,1,7,animal,bear,thinking
10,1,8,artifact,guitar,feelings
10,1,9,artifact,stapler,hunger
10,1,10,human,grownup,thinking
10,1,11,human,baby,hunger
10,1,12,technology,robot,feelings
10,1,13,animal,dog,hunger
10,1,14,technology,computer,thinking
11,practice,1,NA,strawberries,are blue
11,practice,2,NA,ice cream,is very cold
11,1,3,technology,computer,thinking
11,1,4,animal,dog,hunger
11,1,5,human,kid,feelings
11,1,6,artifact,stapler,hunger
11,1,7,artifact,car,thinking
11,1,8,human,baby,hunger
11,1,9,artifact,guitar,feelings
11,1,10,technology,cellphone,hunger
11,1,11,animal,bear,thinking
11,1,12,technology,robot,feelings
11,1,13,human,grownup,thinking
11,1,14,animal,bug,feelings
12,practice,1,NA,ice cream,is very cold
12,practice,2,NA,strawberries,are blue
12,1,3,artifact,stapler,hunger
12,1,4,technology,robot,feelings
12,1,5,human,grownup,thinking
12,1,6,animal,dog,hunger
12,1,7,animal,bear,thinking
12,1,8,human,baby,hunger
12,1,9,technology,computer,thinking
12,1,10,animal,bug,feelings
12,1,11,artifact,car,thinking
12,1,12,human,kid,feelings
12,1,13,technology,cellphone,hunger
12,1,14,artifact,guitar,feelings
